pathway	pval	padj	log2err	ES	NES	size	leadingEdge
"Class I MHC mediated antigen processing & presentation"	0.77	0.934170410783055	0.0577308549299813	-0.514705882352941	-0.780610109807189	2	CDC34 RNF126
"PPARA activates gene expression"	0.794715447154472	0.934170410783055	0.0570059526582387	-0.63768115942029	-0.825714722519487	1	MED16
"Regulation of lipid metabolism by PPARalpha"	0.794715447154472	0.934170410783055	0.0570059526582387	-0.63768115942029	-0.825714722519487	1	MED16
"Transcriptional regulation of white adipocyte differentiation"	0.794715447154472	0.934170410783055	0.0570059526582387	-0.63768115942029	-0.825714722519487	1	MED16
"Sphingolipid de novo biosynthesis"	0.796	0.934170410783055	0.0561766586307176	-0.485294117647059	-0.736003817818207	2	CSNK1G2 PLPP2
"Sphingolipid metabolism"	0.796	0.934170410783055	0.0561766586307176	-0.485294117647059	-0.736003817818207	2	CSNK1G2 PLPP2
"Signal Transduction"	0.811209439528024	0.934170410783055	0.0741758965588009	-0.281925660112331	-0.737427854289375	12	FGF22 SHC2 PLPPR3 ABHD17A
"tRNA modification in the nucleus and cytosol"	0.813725490196078	0.934170410783055	0.0542315935495841	0.594202898550725	0.790791966654031	1	ADAT3
"tRNA processing"	0.813725490196078	0.934170410783055	0.0542315935495841	0.594202898550725	0.790791966654031	1	ADAT3
"C-type lectin receptors (CLRs)"	0.821138211382114	0.934170410783055	0.0554793308704233	-0.623188405797102	-0.806948478825863	1	CDC34
"CLEC7A (Dectin-1) signaling"	0.821138211382114	0.934170410783055	0.0554793308704233	-0.623188405797102	-0.806948478825863	1	CDC34
"Downstream TCR signaling"	0.821138211382114	0.934170410783055	0.0554793308704233	-0.623188405797102	-0.806948478825863	1	CDC34
"FCERI mediated NF-kB activation"	0.821138211382114	0.934170410783055	0.0554793308704233	-0.623188405797102	-0.806948478825863	1	CDC34
"Fc epsilon receptor (FCERI) signaling"	0.821138211382114	0.934170410783055	0.0554793308704233	-0.623188405797102	-0.806948478825863	1	CDC34
"Protein ubiquitination"	0.821138211382114	0.934170410783055	0.0554793308704233	-0.623188405797102	-0.806948478825863	1	CDC34
"Synthesis of active ubiquitin: roles of E1 and E2 enzymes"	0.821138211382114	0.934170410783055	0.0554793308704233	-0.623188405797102	-0.806948478825863	1	CDC34
"TCR signaling"	0.821138211382114	0.934170410783055	0.0554793308704233	-0.623188405797102	-0.806948478825863	1	CDC34
"Chromatin modifying enzymes"	0.847560975609756	0.934170410783055	0.0540088272801684	-0.608695652173913	-0.788182235132238	1	MBD3
"Chromatin organization"	0.847560975609756	0.934170410783055	0.0540088272801684	-0.608695652173913	-0.788182235132238	1	MBD3
"ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression"	0.847560975609756	0.934170410783055	0.0540088272801684	-0.608695652173913	-0.788182235132238	1	MBD3
"HDACs deacetylate histones"	0.847560975609756	0.934170410783055	0.0540088272801684	-0.608695652173913	-0.788182235132238	1	MBD3
"PTEN Regulation"	0.847560975609756	0.934170410783055	0.0540088272801684	-0.608695652173913	-0.788182235132238	1	MBD3
"Potential therapeutics for SARS"	0.847560975609756	0.934170410783055	0.0540088272801684	-0.608695652173913	-0.788182235132238	1	MBD3
"Regulation of PTEN gene transcription"	0.847560975609756	0.934170410783055	0.0540088272801684	-0.608695652173913	-0.788182235132238	1	MBD3
"Regulation of TP53 Activity through Acetylation"	0.847560975609756	0.934170410783055	0.0540088272801684	-0.608695652173913	-0.788182235132238	1	MBD3
"SARS-CoV Infections"	0.847560975609756	0.934170410783055	0.0540088272801684	-0.608695652173913	-0.788182235132238	1	MBD3
"Basigin interactions"	0.865853658536585	0.934170410783055	0.0530212512043078	-0.594202898550725	-0.769415991438613	1	BSG
"Cell surface interactions at the vascular wall"	0.865853658536585	0.934170410783055	0.0530212512043078	-0.594202898550725	-0.769415991438613	1	BSG
"Defective SLC16A1 causes symptomatic deficiency in lactate transport (SDLT)"	0.865853658536585	0.934170410783055	0.0530212512043078	-0.594202898550725	-0.769415991438613	1	BSG
"Disorders of transmembrane transporters"	0.865853658536585	0.934170410783055	0.0530212512043078	-0.594202898550725	-0.769415991438613	1	BSG
"Proton-coupled monocarboxylate transport"	0.865853658536585	0.934170410783055	0.0530212512043078	-0.594202898550725	-0.769415991438613	1	BSG
"Pyruvate metabolism"	0.865853658536585	0.934170410783055	0.0530212512043078	-0.594202898550725	-0.769415991438613	1	BSG
"Pyruvate metabolism and Citric Acid (TCA) cycle"	0.865853658536585	0.934170410783055	0.0530212512043078	-0.594202898550725	-0.769415991438613	1	BSG
"SLC transporter disorders"	0.865853658536585	0.934170410783055	0.0530212512043078	-0.594202898550725	-0.769415991438613	1	BSG
"SLC-mediated transmembrane transport"	0.865853658536585	0.934170410783055	0.0530212512043078	-0.594202898550725	-0.769415991438613	1	BSG
"Transport of bile salts and organic acids, metal ions and amine compounds"	0.865853658536585	0.934170410783055	0.0530212512043078	-0.594202898550725	-0.769415991438613	1	BSG
"Abortive elongation of HIV-1 transcript in the absence of Tat"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"Activation of HOX genes during differentiation"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"B-WICH complex positively regulates rRNA expression"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"Cell Cycle"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"Chromosome Maintenance"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"Cytosolic sensors of pathogen-associated DNA "	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"DNA Repair"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"Dual incision in TC-NER"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"ESR-mediated signaling"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"Estrogen-dependent gene expression"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"Formation of HIV elongation complex in the absence of HIV Tat"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"Formation of HIV-1 elongation complex containing HIV-1 Tat"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"Formation of RNA Pol II elongation complex "	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"Formation of TC-NER Pre-Incision Complex"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"Formation of the Early Elongation Complex"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"Formation of the HIV-1 Early Elongation Complex"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"Gap-filling DNA repair synthesis and ligation in TC-NER"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"Gene Silencing by RNA"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"HIV Infection"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"HIV Life Cycle"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"HIV Transcription Elongation"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"HIV Transcription Initiation"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"HIV elongation arrest and recovery"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"Inhibition of DNA recombination at telomere"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"Late Phase of HIV Life Cycle"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"MicroRNA (miRNA) biogenesis"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"Negative epigenetic regulation of rRNA expression"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"NoRC negatively regulates rRNA expression"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"Nucleotide Excision Repair"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"PIWI-interacting RNA (piRNA) biogenesis"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"Pausing and recovery of HIV elongation"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"Pausing and recovery of Tat-mediated HIV elongation"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"RNA Pol II CTD phosphorylation and interaction with CE"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"RNA Pol II CTD phosphorylation and interaction with CE during HIV infection"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"RNA Polymerase I Promoter Escape"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"RNA Polymerase I Transcription Termination"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"RNA Polymerase II HIV Promoter Escape"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"RNA Polymerase II Pre-transcription Events"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"RNA Polymerase II Promoter Escape"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"RNA Polymerase II Transcription Elongation"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"RNA Polymerase II Transcription Initiation"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"RNA Polymerase II Transcription Initiation And Promoter Clearance"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"RNA Polymerase II Transcription Pre-Initiation And Promoter Opening"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"RNA Polymerase III Abortive And Retractive Initiation"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"RNA Polymerase III Chain Elongation"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"RNA Polymerase III Transcription"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"RNA Polymerase III Transcription Initiation"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"RNA Polymerase III Transcription Initiation From Type 1 Promoter"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"RNA Polymerase III Transcription Initiation From Type 2 Promoter"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"RNA Polymerase III Transcription Initiation From Type 3 Promoter"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"RNA Polymerase III Transcription Termination"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"RNA polymerase II transcribes snRNA genes"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"Signaling by FGFR2 IIIa TM"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"Signaling by Nuclear Receptors"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"TP53 Regulates Transcription of DNA Repair Genes"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"Tat-mediated HIV elongation arrest and recovery"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"Tat-mediated elongation of the HIV-1 transcript"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"Telomere Maintenance"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"Transcription of the HIV genome"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"Transcription-Coupled Nucleotide Excision Repair (TC-NER)"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"Transcriptional regulation by small RNAs"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"Viral Messenger RNA Synthesis"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"mRNA Capping"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"mRNA Splicing - Minor Pathway"	0.890243902439024	0.934170410783055	0.0517405459873163	-0.579710144927536	-0.750649747744989	1	POLR2E
"Infectious disease"	0.902255639097744	0.937713513942957	0.0475434194201301	0.402985074626866	0.645122194121072	3	RPS15 POLR2E MBD3
"Olfactory Signaling Pathway"	0.902439024390244	0.937713513942957	0.0511147954416412	-0.565217391304348	-0.731883504051364	1	REEP6
"Sensory Perception"	0.902439024390244	0.937713513942957	0.0511147954416412	-0.565217391304348	-0.731883504051364	1	REEP6
"Influenza Infection"	0.926732673267327	0.947623514696685	0.048701086452153	0.446234451846716	0.645787061340681	2	RPS15 POLR2E
"Influenza Viral RNA Transcription and Replication"	0.926732673267327	0.947623514696685	0.048701086452153	0.446234451846716	0.645787061340681	2	RPS15 POLR2E
"Disassembly of the destruction complex and recruitment of AXIN to the membrane"	0.926829268292683	0.947623514696685	0.0498907356726307	-0.550724637681159	-0.713117260357739	1	CSNK1G2
"Signaling by WNT"	0.926829268292683	0.947623514696685	0.0498907356726307	-0.550724637681159	-0.713117260357739	1	CSNK1G2
"TCF dependent signaling in response to WNT"	0.926829268292683	0.947623514696685	0.0498907356726307	-0.550724637681159	-0.713117260357739	1	CSNK1G2
"Metabolism of amino acids and derivatives"	0.96	0.978402555910543	0.0475434194201301	-0.367647058823529	-0.557578649862278	2	GAMT RPS15
"Class A/1 (Rhodopsin-like receptors)"	0.972	0.981227848101266	0.0469758727821845	-0.352608022872209	-0.534770238480446	2	PLPPR3
"GPCR ligand binding"	0.972	0.981227848101266	0.0469758727821845	-0.352608022872209	-0.534770238480446	2	PLPPR3
"Signaling by GPCR"	0.972	0.981227848101266	0.0469758727821845	-0.352608022872209	-0.534770238480446	2	PLPPR3
"Mitochondrial transcription initiation"	1	1	0.044774889329693	0.507246376811594	0.675066312997343	1	POLRMT
"Transcription from mitochondrial promoters"	1	1	0.044774889329693	0.507246376811594	0.675066312997343	1	POLRMT
"Transcriptional activation of mitochondrial biogenesis"	1	1	0.044774889329693	0.507246376811594	0.675066312997343	1	POLRMT
